wikipedia_title,mentioned_in_agent,possible_agent_norm,match_score
James-Henri de Rothschild,"rothschild, henri de","rothschild, henri de",0.8696
Johann Heinrich Lambert,frederick,"waser, johann heinrich",0.8696
Gian Domenico Romagnosi,"metternich, clemens wenzel lothar","mansi, giovan domenico",0.8696
Jean Mone,"dürer, albrecht","molinet, jean",0.8696
Karl Friedrich Schlegel,"schelling, friedrich wilhelm joseph von","flögel, karl friedrich",0.8696
John Brian Christopherson,"christopherson, john","christopherson, john",0.8696
Jean-Baptiste Willermoz,"péladan, joséphin","wilhelm, jean-baptiste",0.8696
Marcus Aurelius Probus,Historia Augusta,"probus, marcus valerius",0.8696
Pierre Loti,"racine, jean","cot, pierre",0.8696
R v Walker,Erotic literature,"walker, r. a",0.8696
SS Archimedes,archimedes,archimedes,0.8696
Giovanni Battista Martini,"grétry, andré ernest modeste","palatino, giovanni battista",0.8679
Giovanni Battista Piranesi,victoria and albert museum,"rasario, giovanni battista",0.8679
Giovanni Battista Palumba,"dürer, albrecht","palatino, giovanni battista",0.8679
Christian Gottlieb Jöcher,Leipzig University Library,"schwarz, christian gottlieb",0.8679
William Caslon,Graphics,"caxton, william",0.8667
William Alston,Natural theology,"caxton, william",0.8667
William Whewell,Natural theology,"sewel, william",0.8667
Heinrich Böll,"frisch, max","wölfli, heinrich",0.8667
Charles Martel,History of Germany,"martin, charles",0.8667
John Bernoulli,"haller, albrecht von","bernoulli, jean",0.8667
Thomas Phillips,"hallam, henry","hollis, thomas",0.8667
Christian art,Christianity in the 1st century,"garve, christian",0.8667
Edmund Craster,"hudson, john","castell, edmund",0.8667
William Harvey,zacutus lusitanus,"hayley, william",0.8667
Richard Sampson,John Donne,"simon, richard",0.8667
William Cowper,"cumberland, richard","bowyer, william",0.8667
Jacques Callot,"hoffmann, e. t. a","gillot, jacques",0.8667
Alexander Rofe,Targum Onkelos,"pope, alexander",0.8667
Jacques Villon,"braque, georges","gillot, jacques",0.8667
Elisa Bonaparte,"Marie Louise, Duchess of Parma",louis bonaparte,0.8667
Charles Conder,"liebermann, max","nodier, charles",0.8667
William Darton,"darton, f. j. harvey","caxton, william",0.8667
Thomas Arundel,"cranmer, thomas","parnell, thomas",0.8667
William Howley,"cranmer, thomas","hayley, william",0.8667
Pietro Parenzo,ephraem,"aretino, pietro",0.8667
Charles Rogier,History of Belgium,"nodier, charles",0.8667
Sir Walter Scott,"dryden, john","scott, walter",0.8667
Richard Sammons,Classical order,"simon, richard",0.8667
Giuseppe Siri,Index Librorum Prohibitorum,"pasini, giuseppe",0.8667
Marcel Marceau,"halter, marek","marcian, marcel",0.8667
Enrique Flores,"flórez, enrique","flórez, enrique",0.8667
Charles Baring,"bury, richard de","darwin, charles",0.8667
Richard Poore,"bury, richard de","pococke, richard",0.8667
Charles Schaaf,Bible concordance,"schaaf, carolus",0.8667
Richard Thaler,Classical economics,"oehler, richard",0.8667
Pierre Lagarde,"lépidis, clément","laprade, pierre",0.8667
Charles Dullin,"barrault, jean-louis","rollin, charles",0.8667
William Walton,George Herbert,"caxton, william",0.8667
